,age,income,city,education,target
0,50.0,60793.04684735685,NY,Masters,177.17145648907524
1,36.0,72839.31841353333,LA,,132.74231769376365
2,,,LA,Masters,108.79782674401127
3,42.0,,SF,Masters,177.37801444740828
4,40.0,,LA,Bachelors,130.5017834314555
5,44.0,80065.55519019709,NY,,167.8045547026776
6,32.0,66661.87246128403,LA,PhD,137.30876012520326
7,32.0,56912.27026612193,LA,Bachelors,113.5831336616663
8,45.0,55602.58004629528,SF,Bachelors,165.31486057299517
9,57.0,84625.76642955202,,Bachelors,178.79144475151594
10,45.0,77054.83465792435,SF,Masters,178.5377544408133
11,24.0,42162.433435745144,LA,PhD,130.82546890822957
12,43.0,86451.30140199911,LA,Bachelors,135.10521955311603
13,23.0,98206.52719603982,NY,Bachelors,74.95095557679745
14,45.0,59261.24723862201,SF,Bachelors,161.7222826405655
15,51.0,75042.40069414061,NY,Masters,198.16637535921882
16,59.0,62898.12859551461,NY,Bachelors,184.57123024921196
17,23.0,79424.6038820675,NY,Masters,127.96349498385479
18,42.0,52509.866663871624,LA,Bachelors,126.97681910344448
19,,68928.3151435183,,,169.1474261484709
20,33.0,84719.71191998172,LA,Masters,128.8377620985734
21,43.0,88535.6760894826,SF,Masters,165.81564336622526
22,46.0,76397.43728379533,,Bachelors,169.35447486995736
23,48.0,64914.32045185391,NY,Masters,171.87086427542044
24,49.0,46110.98373484587,NY,Bachelors,177.08360980195192
25,37.0,58636.754331410775,SF,Bachelors,138.4287954610835
26,36.0,62960.898928678296,SF,Masters,156.4158055586663
27,24.0,59533.99325047579,LA,Masters,111.34471701445571
28,58.0,70893.29452470422,LA,Bachelors,185.39889217556865
29,28.0,64871.68395743072,NY,Bachelors,125.39129431771877
30,42.0,72581.82058503164,,Masters,168.5546401469913
31,,88039.40951571496,LA,Masters,117.52849538924777
32,39.0,63903.066681559576,LA,Bachelors,108.91695567529905
33,25.0,49256.99534118663,,,137.8873947277956
34,46.0,59474.38602812687,SF,Bachelors,168.98861641345826
35,35.0,78753.82704959907,LA,Masters,141.16823373970604
36,30.0,80169.1567742901,NY,PhD,156.7640550200978
37,47.0,76091.27795524351,LA,Bachelors,149.03899994696974
38,23.0,89511.05958832023,LA,Masters,107.58396818856643
39,41.0,67204.55395184521,LA,Bachelors,127.59155766623128
40,49.0,100782.49222013986,,,166.51031318141068
41,28.0,82272.8070415886,LA,Masters,106.78885427803472
42,29.0,32147.687946881837,SF,PhD,172.35834715511086
43,56.0,97009.8794494535,NY,Bachelors,187.49520527694168
44,35.0,58495.20084796417,,Bachelors,147.60153383646178
45,38.0,54488.48215814604,NY,Bachelors,158.14337174578003
46,57.0,77856.56664749341,LA,PhD,194.57270026972725
47,25.0,43927.292914951846,LA,Masters,117.10937544532844
48,23.0,59567.9615301758,SF,Masters,109.30308169090269
49,27.0,93356.47810936312,LA,Bachelors,101.00843400901903
50,25.0,78343.26368496254,LA,PhD,131.7810252459938
51,50.0,82183.5967140883,SF,Masters,178.41568237748797
52,39.0,60146.340992537895,NY,,145.5306702842904
53,,46924.45001547845,,Bachelors,170.98049275838258
54,55.0,80602.26143970601,LA,Bachelors,170.48709744799453
55,31.0,83953.84234362925,LA,Masters,113.67443806239999
56,57.0,,LA,,181.85068507225162
